ID,einstein_radius,einstein_radius_err3sig_lo,einstein_radius_err3sig_hi,source_effective_radius,source_re_err3sig_lo,source_re_err3sig_hi,snr_arc_model,chi2_per_pix
KiDSDR4_J091523.562-005521.33,2.993717696751171,0.6444298226408494,0.6124497295109976,6.043738230604086,1.6359101700684056,1.297611122469017,60.11351803686248,1.5153637586970656
KiDSDR4_J091903.838+003900.49,1.4370258513172876,0.1557010113462649,0.2691268448694879,1.2022418842078235,0.24296031615756108,0.30656269016045545,60.021670645844644,1.2051058853249477
KiDSDR4_J091940.081-011630.76,0.8960938621996308,0.04738287239253913,0.05544081544814228,2.2611911088502987,0.10987390028855071,0.13092654292788675,313.8093733280431,2.4394325438399664
KiDSDR4_J092136.654+021409.44,3.9819259876224593,0.002225905606187961,0.003232734021630268,4.25667079308088,0.46603944571640543,0.25150256207837796,175.4596975788499,7.422450666803073
KiDSDR4_J100108.387+024029.67,1.157993495169469,0.05512777885969311,0.05194476216902566,0.7723476145963836,0.08852440902593428,0.1195383138619307,112.58241922016937,3.229550264255432
KiDSDR4_J102729.477-013550.93,3.119383631264568,0.36389587540491064,0.3423356957864838,0.8793337046392438,0.10695789263554267,0.13054759625454437,54.793661937173624,1.546383162637495
KiDSDR4_J103907.380-021630.07,1.0070299559460807,0.07484493210201681,0.04544131824859132,3.3314434497038716,0.10223085724714576,0.08372752553152729,782.1346680047257,7.741872048313221
KiDSDR4_J104119.501-000416.30,2.184046523682195,0.5341658434050001,0.757683898822759,1.2268279303221792,0.09857250397222472,0.10130570330936184,136.18579419269855,2.3505221006498456
KiDSDR4_J105741.640-004349.78,1.0870931925344134,0.09363111292518456,0.1633223844124121,2.441074305946254,0.39969800279631906,0.5682097502106394,147.56839825871626,1.405966817906319
KiDSDR4_J110051.121-005251.89,3.981270390584654,0.2751275579129273,0.10191885276260315,0.5009194971306064,0.028010817377659147,0.03252039264729534,47.18102228913118,5.035237801736562
KiDSDR4_J111121.008-023548.31,2.6220106891232033,0.284936247848806,0.17437782913247224,3.422378633935813,1.8517306717765825,3.525680355866955,39.10137607802959,1.309419424960707
KiDSDR4_J111253.976+001044.65,1.1220795228272946,0.036190928930504906,0.02980462794329819,3.8286782518001705,1.3481520658850883,1.2592291970785547,124.99184537740955,3.3567726812799967
KiDSDR4_J111328.589+020948.55,1.4084068417317679,0.21711796852024845,0.35055276982486805,0.7480314045359802,0.08962410681894906,0.16966230054016085,18.527360805784046,1.2625782808941268
KiDSDR4_J111433.617-020929.17,1.7808007322836898,0.18683118686204603,0.2307564535523725,1.2378426755252383,0.13009422860716335,0.14308993675471093,74.005180891555,1.0538555713535804
KiDSDR4_J111555.997-025204.81,1.6280221664812975,0.05572638124616436,0.053213767485327246,0.6626616471489222,0.1554500515104129,0.25140908751811697,99.1787909842471,2.1585984328379024
KiDSDR4_J112152.078+023711.11,1.7368597457472943,0.08721818905243905,0.11709765455176369,0.4340690542544082,0.44352934132486826,1.3435867418985583,29.784348273441157,1.1002677996986563
KiDSDR4_J112900.041-014214.01,1.4772396461081487,0.19686931102861083,0.18141620728826524,1.986518566805093,0.4435260933921379,0.6796427948953514,81.73486938760708,1.3402971823903689
KiDSDR4_J113146.090+002212.70,2.6593430778306737,0.16821381969056803,0.18215056838726973,0.9374281784670028,0.1925034605973419,0.2748053132519579,65.97729851038052,2.099246244641367
KiDSDR4_J113741.606-020559.02,1.9375344348580275,0.17700061770931863,0.2047345002100318,0.1671218163009228,0.06409819639093589,0.040431167134278856,16.127277045126398,1.233580624974065
KiDSDR4_J114054.983-010757.27,0.802767249942669,0.09435709536456338,0.11052719232752883,2.513438121111485,0.17373476856663572,0.2356429591543172,257.09733240550815,1.562596606111463
