ID,Grade,recovered,chi2_per_pix,snr_arc_model,source_model,well_converged_chi2le2
KiDSDR4 J142332.130-003115.73,B,False,2.079901198913722,41.44204845744806,parametric,False
KiDSDR4 J142528.079-011504.48,B,False,1.1843269966405607,14.955925926265552,parametric,True
KiDSDR4 J142541.213+002216.85,B,False,0.5000170971113901,5.37107541745849,parametric,True
KiDSDR4 J142706.615+004314.90,B,False,,,,False
KiDSDR4 J144515.550+004133.42,B,False,1.1412206476811058,67.72021197048976,parametric,True
KiDSDR4 J144603.494-004016.70,B,False,,,,False
KiDSDR4 J144723.506-001207.74,B,False,1.9289531530453834,49.19793578264435,parametric,True
KiDSDR4 J144950.700+005536.65,B,True,1.5770609261745756,57.4645411323817,parametric,True
KiDSDR4 J145325.778-003331.75,B,True,1.0570238374470804,20.591037880879437,parametric,True
KiDSDR4 J154712.516+002809.44,B,False,2.7892809620166985,176.8711350958077,parametric,False
KiDSDR4 J221339.008-331156.34,B,False,7.5933276198019115,50.75460798974944,parametric,False
KiDSDR4 J225409.348-274934.16,B,False,2.8503061681680717,271.5833918977322,parametric,False
KiDSDR4 J230024.723-351233.67,B,True,3.7478206966861918,199.22303281420142,parametric,False
KiDSDR4 J230621.790-303040.05,B,False,1.8982043178036752,49.55894564117276,parametric,True
KiDSDR4 J230740.782-295058.93,B,True,1.5823341023576516,29.263519592324293,parametric,True
KiDSDR4 J231009.429-303122.01,B,False,4.681763923546138,192.31777804354905,parametric,False
KiDSDR4 J231132.234-342357.36,B,False,2.9924243275660998,218.44149150190006,parametric,False
KiDSDR4 J232041.173-301353.02,B,False,1.1414271079438845,24.16332897388689,parametric,True
KiDSDR4 J233105.551-335829.71,B,False,2.8157793965880993,58.186771782609675,parametric,False
KiDSDR4 J234338.567-335641.44,B,False,,,,False
KiDSDR4 J234719.642-333022.28,B,False,1.258485330342891,0.07969786687133089,parametric,True
