 num   chi2/pix  ID
 193       2.36  KiDSDR4_J233323.587-322807.40
 194       5.75  KiDSDR4_J233430.820-313928.28
 195      15.63  KiDSDR4_J233533.673-322722.06
 196       1.43  KiDSDR4_J234413.445-320057.62
 197       1.33  KiDSDR4_J234450.820-314201.44
 198       1.26  KiDSDR4_J234719.642-333022.28
 199       3.76  KiDSDR4_J234843.274-304922.09
 200       2.84  KiDSDR4_J235440.569-303219.81
 201       2.11  KiDSDR4_J235629.267-314515.77
 202       6.99  KiDSDR4_J235920.054-281535.45
